time,code,Comments
00:00:00,NA,
00:01:23,LT,
00:05:38,CQ,
00:05:50,ST,
00:06:51,FB,
00:07:08,SD,
00:09:59,FB,
00:10:29,LT,
00:13:04,LQ,
00:13:06,SQ,
00:13:11,LR,
00:14:06,SQ,
00:14:13,LR,
00:14:21,FB,
00:14:28,LQ,
00:14:35,LT,
00:14:45,SQ,
00:14:47,LR,
00:15:39,LQ,
00:15:41,SR,
00:15:42,LR,
00:16:26,LT,
00:19:39,LQ,
00:19:44,LT,
00:22:20,LQ,
00:22:26,SR,
00:22:27,LR,
00:22:29,LT,
00:22:40,LQ,
00:22:45,SR,
00:22:48,LT,
00:23:26,LQ,
00:23:28,SR,
00:23:32,LR,
00:23:38,LT,
00:23:46,LQ,
00:23:50,LQ,
00:23:59,SR,
00:24:01,LT,
00:24:10,LQ,
00:24:12,SR,
00:24:22,LT,
00:25:59,CQ,
00:26:07,ST,
00:27:44,NA,Lecturer has mic turned off 
00:29:04,SD,
00:30:04,FB,
00:30:32,LT,
00:33:36,LQ,
00:33:52,SR,
00:33:56,LR,
00:34:01,LQ,
00:34:05,LQ,
00:34:26,SR,
00:34:33,LT,
00:35:04,LQ,
00:35:09,LT,
00:35:36,CQ,
00:35:39,ST,
00:37:41,FB,
00:37:57,SD,
00:41:02,FB,
00:41:22,LT,
00:43:26,LQ,
00:43:36,LT,
00:46:18,CQ,
00:46:21,ST,
00:48:19,AD,
00:48:31,ST,
00:48:40,FB,
00:49:13,LT,
00:50:13,END,
