time,code
00:00:00,NA
00:01:08,LT
00:01:12,AD
00:01:23,FB
00:04:07,LT
00:15:46,SR
00:15:48,LT
00:16:47,SR
00:16:51,LT
00:17:18,CQ
00:17:27,SD
00:18:25,LQ
00:18:35,SR
00:18:39,LQ
00:18:41,SR
00:18:42,LR
00:18:46,LT
00:18:51,FB
00:19:02,LT
00:24:43,SR
00:24:46,LT
00:25:09,CQ
00:25:31,ST
00:26:25,FB
00:26:58,LT
00:27:18,SR
00:27:20,LT
00:27:23,SR
00:27:26,LT
00:27:34,SR
00:27:39,LT
00:27:53,SR
00:27:57,LT
00:28:05,CQ
00:28:19,SD
00:29:34,FB
00:29:45,LQ
00:29:50,SR
00:30:00,LR
00:30:05,LT
00:30:11,CQ
00:30:25,SD
00:33:37,LR
00:33:48,LT
00:36:42,CQ
00:37:27,ST
00:37:56,LR
00:37:58,SD
00:39:54,FB
00:40:13,LT
00:40:49,LQ
00:40:53,LT
00:43:24,CQ
00:44:09,ST
00:45:09,FB
00:45:24,SD
00:47:29,FB
00:48:12,LT
00:49:39,CQ
00:49:53,SD
00:52:11,FB
00:52:19,LT
00:54:41,END
