time,code
00:00:00,AD
00:00:33,LT
00:00:44,CQ
00:00:46,ST
00:00:48,LT
00:01:25,AD
00:01:46,LT
00:05:32,SR
00:05:35,LT
00:09:55,LQ
00:09:56,SR
00:09:57,LT
00:10:24,LQ
00:10:26,SR
00:10:28,LT
00:13:48,CQ
00:14:05,ST
00:16:00,FB
00:16:14,SD
00:17:35,FB
00:17:53,LQ
00:18:02,SR
00:18:03,LR
00:18:05,LT
00:18:19,FB
00:18:22,LT
00:18:49,SR
00:18:53,LT
00:19:10,LQ
00:19:17,SR
00:19:20,LT
00:20:35,SR
00:20:37,LT
00:20:50,SR
00:20:51,LT
00:20:55,SR
00:20:56,LT
00:21:13,SR
00:21:15,LT
00:21:27,SR
00:21:30,LT
00:22:32,SQ
00:22:49,LQ
00:22:52,SR
00:22:55,LR
00:23:30,LT
00:25:12,SQ
00:25:24,LQ
00:25:28,SR
00:25:31,LR
00:26:02,SQ
00:26:05,LR
00:26:12,SR
00:26:16,LT
00:26:20,SR
00:26:23,LT
00:27:47,SR
00:27:48,LT
00:35:21,SQ
00:35:23,LR
00:35:35,SQ
00:35:43,LR
00:35:50,SQ
00:35:52,LR
00:36:30,LT
00:37:18,SR
00:37:21,LR
00:37:28,LQ
00:37:33,SR
00:37:34,LR
00:37:36,SR
00:37:37,LR
00:37:43,SR
00:37:44,LR
00:37:54,LT
00:45:00,SQ
00:45:03,LR
00:46:30,LT
00:50:48,AD
00:50:54,END
