time,code
00:00:00,NA
00:00:50,AD
00:02:17,FB
00:05:54,LT
00:11:44,CQ
00:11:54,SD
00:14:08,FB
00:14:26,LT
00:15:56,SQ
00:15:59,LR
00:16:03,LT
00:16:24,SR
00:16:26,LT
00:16:38,SR
00:16:39,LT
00:16:55,SR
00:16:57,LT
00:16:58,SR
00:16:59,LT
00:17:14,SR
00:17:15,LT
00:17:42,SR
00:17:48,LT
00:18:04,LQ
00:18:07,SR
00:18:08,LT
00:18:13,SR
00:18:18,LT
00:18:19,SR
00:18:22,LT
00:18:56,CQ
00:19:02,SD
00:21:26,LT
00:30:47,CQ
00:30:57,SD
00:33:57,LT
00:40:35,CQ
00:41:02,SD
00:44:15,FB
00:45:15,LT
00:45:55,CQ
00:46:06,SD
00:49:21,LT
00:52:12,END
