time,code,Comments
00:00:00,NA,
00:01:28,AD,
00:02:05,LT,
00:02:35,FB,
00:02:49,LT,
00:08:06,LQ,
00:08:09,LT,
00:11:19,LQ,
00:11:27,LT,
00:13:23,LQ,
00:13:24,SQ,
00:13:31,LR,
00:14:11,SQ,
00:14:24,LR,
00:14:51,LQ,
00:14:56,LT,
00:17:50,LQ,
00:17:53,LT,
00:18:31,LQ,
00:18:36,LT,
00:20:50,LQ,
00:20:55,SQ,
00:21:09,LR,
00:22:16,SQ,
00:22:23,LR,
00:23:10,SQ,
00:23:21,LR,
00:24:09,LT,
00:24:30,CQ,
00:25:09,ST,
00:26:24,FB,
00:26:50,SD,
00:28:48,FB,
00:28:55,LT,
00:29:07,LQ,
00:29:12,SR,
00:29:13,LT,
00:29:23,LQ,
00:29:29,SR,
00:29:31,LT,
00:30:00,LQ,
00:30:02,SR,
00:30:03,LT,
00:30:22,LQ,
00:30:24,FB,
00:30:36,CQ,
00:30:48,ST,
00:32:08,FB,
00:32:29,SD,
00:34:43,FB,
00:34:57,LT,
00:35:10,LQ,
00:35:16,SR,
00:35:20,LT,
00:36:01,FB,
00:36:21,LQ,
00:36:24,SQ,
00:36:27,LR,
00:36:37,LQ,
00:36:41,SR,
00:36:45,LR,
00:37:18,LQ,
00:37:24,LT,
00:40:11,LQ,
00:40:14,SQ,
00:40:17,LR,
00:40:37,LT,
00:40:48,CQ,
00:41:04,ST,
00:42:06,FB,
00:42:27,CQ,
00:42:37,ST,
00:42:43,SQ,
00:42:46,LR,
00:42:54,SQ,
00:42:58,LR,
00:43:08,LT,
00:43:17,SD,
00:44:28,FB,
00:44:40,LT,
00:49:18,LQ,
00:49:22,SQ,
00:49:25,LR,
00:50:08,LT,
00:50:13,END,
