time,code
00:00:00,NA
00:00:01,ST
00:01:18,FB
00:01:41,LT
00:07:51,CQ
00:07:54,ST
00:08:54,FB
00:09:19,SD
00:12:19,FB
00:12:49,LT
00:15:33,CQ
00:15:40,ST
00:16:34,FB
00:17:20,SD
00:20:20,FB
00:20:43,LT
00:23:44,LQ
00:24:02,SR
00:24:11,LR
00:24:13,LT
00:25:44,CQ
00:26:01,ST
00:26:04,FB
00:26:08,CQ
00:26:14,ST
00:26:16,CQ
00:26:18,ST
00:26:19,FB
00:26:23,LT
00:27:16,LQ
00:27:21,LT
00:29:26,CQ
00:30:14,ST
00:31:17,FB
00:31:36,SD
00:35:08,FB
00:35:37,LT
00:38:23,LQ
00:38:25,SQ
00:38:26,LR
00:38:42,LT
00:40:12,CQ
00:40:21,ST
00:41:22,FB
00:41:33,SD
00:43:21,FB
00:43:54,LT
00:46:26,SQ
00:46:29,LQ
00:46:31,SR
00:46:32,LR
00:46:44,LT
00:48:28,LQ
00:48:44,LT
00:48:49,LQ
00:48:53,LT
00:50:06,END
