time,code
00:00:00,NA
00:02:29,LT
00:02:57,FB
00:03:09,LT
00:03:25,FB
00:03:39,LT
00:04:00,CQ
00:04:34,ST
00:05:42,FB
00:05:55,LT
00:06:53,LQ
00:06:57,LT
00:07:03,CQ
00:07:32,ST
00:08:49,FB
00:09:09,SD
00:11:09,FB
00:11:26,LT
00:11:35,LQ
00:11:39,SR
00:11:41,LR
00:11:46,LT
00:12:04,LQ
00:12:15,SR
00:12:16,LR
00:12:18,LT
00:12:37,LQ
00:12:47,SR
00:12:48,LQ
00:12:49,SR
00:12:52,LR
00:12:53,LT
00:13:33,FB
00:13:48,LQ
00:13:51,SQ
00:13:57,LR
00:14:27,LQ
00:14:32,LT
00:15:50,CQ
00:16:55,ST
00:18:07,FB
00:18:23,SR
00:18:25,FB
00:18:33,LT
00:18:54,FB
00:19:03,SR
00:19:05,FB
00:19:08,SR
00:19:12,FB
00:19:32,SR
00:19:36,FB
00:19:46,SR
00:19:47,FB
00:19:51,SR
00:19:54,FB
00:19:59,SR
00:20:01,FB
00:20:03,LT
00:23:09,LQ
00:23:15,LT
00:26:51,LQ
00:26:54,LT
00:30:13,LQ
00:30:21,SQ
00:30:33,LR
00:31:08,SQ
00:31:13,LR
00:31:27,SQ
00:31:28,LR
00:31:47,LT
00:35:33,LQ
00:35:51,SR
00:35:52,LR
00:35:54,LT
00:36:39,LQ
00:36:44,SQ
00:36:48,LR
00:37:15,LT
00:41:47,LQ
00:41:52,LT
00:42:00,CQ
00:42:23,ST
00:43:37,FB
00:44:17,SD
00:46:12,FB
00:46:36,LQ
00:46:47,SR
00:46:54,LR
00:46:55,LT
00:47:39,FB
00:47:50,LT
00:49:00,END
