time,code
00:00:00,NA
00:00:30,LT
00:01:24,LQ
00:01:32,SR
00:01:34,LR
00:01:36,SR
00:01:40,LT
00:01:55,FB
00:02:47,AD
00:03:24,LT
00:04:09,FB
00:04:58,LQ
00:05:04,LT
00:06:06,CQ
00:06:19,ST
00:07:49,FB
00:08:06,SD
00:10:25,FB
00:10:55,LT
00:15:08,CQ
00:15:14,ST
00:16:42,FB
00:16:55,SD
00:18:42,FB
00:19:04,AD
00:19:18,FB
00:19:24,LT
00:19:50,LQ
00:20:00,SR
00:20:01,LR
00:20:03,LT
00:20:09,LQ
00:20:11,LT
00:20:33,FB
00:20:39,LT
00:20:48,CQ
00:21:14,ST
00:22:47,FB
00:23:17,SD
00:25:13,FB
00:25:27,AD
00:25:29,FB
00:25:43,LT
00:30:31,LQ
00:30:35,LT
00:30:51,CQ
00:31:02,ST
00:32:02,FB
00:32:23,SD
00:35:21,FB
00:35:55,LT
00:36:44,LQ
00:36:48,SR
00:36:50,LT
00:37:32,LQ
00:37:45,LT
00:39:04,FB
00:39:22,LQ
00:39:28,LT
00:39:44,CQ
00:39:56,ST
00:42:02,FB
00:42:25,SD
00:44:52,FB
00:45:12,LT
00:45:46,LQ
00:45:52,SR
00:46:10,LR
00:46:32,LQ
00:46:42,SR
00:46:43,LQ
00:46:48,SR
00:46:49,LQ
00:46:52,SR
00:46:53,LR
00:47:03,LT
00:50:10,END
