time,code,Comments
00:00:00,NA,
00:00:11,LT,
00:07:09,LQ,
00:07:22,LT,
00:08:34,SQ,
00:08:40,LR,
00:08:54,LT,
00:16:05,LQ,
00:16:15,LT,
00:28:08,LQ,
00:28:12,LT,
00:30:10,ST,
00:30:57,LT,
00:34:01,LQ,
00:34:06,SR,
00:34:08,LR,
00:34:15,LT,
00:35:55,LQ,
00:35:59,SQ,
00:36:04,LR,
00:36:42,LQ,
00:36:45,LT,
00:44:46,LQ,
00:44:58,LT,
00:48:43,END,
